7722,4013,15266,11349,31,11135,3708,0,21725,50,3534,10539,10410,6903,6828,3406,0,0,3283,6528,3235,3083,31,2953,2914,11365,0,2793,2715,236,2627,5234,5162,5085,2502,19,2524,2424,2430,0,7024,9255,6927,11302,22175,6640,8657,4287,6335,12606,16364,8131,3984,11907,5806,1970,1944,10956,1788,5298,1750,5126,93,1669,3255,38352,94029,35367,48115,112992,61654,57853,36008,32695,84478,67909,100976,86265,159908,74413,43775,43753,42514,191951,452298,395905,579854,386035,477204,493089,392785,358300,391450,441829,239104,70860,61498,53723,67032,47158,51427,60639,47292,37970,26104,32008,30354,31776,36982,20699,19367,28761,21340,20558,9680,5869,4278,2676,103
10495,2394,10382,124,8065,6094,6105,3923,403,2776,2253,250,5539,2426,403,3780,6947,5126,465,3376,546,1778,548,5738,4495,775,2004,2037,7814,1340,2768,6252,1485,1567,2497,19,0,31,0,2582,2600,5076,7459,2645,14679,7876,9449,217,62,2325,4566,0,6661,124,10642,,,,,,,,,,,,,,
2443,2429,4807,0,2159,19926,13494,2086,2068,3802,2091,2373,4924,186,8228,3630,2343,205,124,267,1487,2882,1650,1437,31,0,62,1258,1524,3883,205,4021,1382,1150,2129,1240,3120,4901,5059,2842,2562,6083,2019,329,3852,584,792,808,155,610,1306,582,0,0,2162,854,0,0,637,31,217,436,1268,727,155,400,199,448,140
23653,27848,4382,29002,30268,2367,4142,5891,10108,391,12958,3653,32248,12855,3699,2474,2085,4969,3449,9712,1586,3309,9564,4421,4111,4129,4187,16009,6623,4011,1207,4962,1335,62,6642,2210,11501,2171,3958,7721,9493,18454,4371,5203,7508,3053,6073,4117,4322,5465,5953,4755,1769,1779,4967,1523,2394,1412,1242,1451,69,155,262,0,31,559,732,134,60
31,4245,62,8959,155,3949,4077,4006,1803,3853,5634,1791,1718,5473,6679,4876,10537,9447,0,1568,329,5960,5633,1430,2679,4092,6453,3983,186,1344,2385,62,1278,5433,1185,2297,4372,4923,93,3239,2877,952,2567,4238,783,205,844,1466,93,1699,1771,2474,2723,2377,1039,1367,1383,711,2085,2162,3727,2480,1190,741,921,856,545,520,83
2074,62,2010,3933,5821,40102,9424,5739,10977,7140,3514,0,1730,31,3330,12884,6342,6217,6151,4493,4480,1433,2795,1480,2784,3970,2599,1332,4933,22614,0,2351,4370,15050,5277,6101,5030,3862,2016,7205,5260,3353,3365,5530,8172,8505,11479,7348,13431,5936,4576,4581,3597,6062,3650,3830,4279,3360,2558,782,1495,625,62,710,1029,944,345,325,85
10340,10334,6068,34089,20265,32765,9640,9288,11364,19976,14162,12408,22182,5112,11595,11340,4752,3275,1577,31,24637,146218,114514,98035,32537,22495,33644,23947,11179,5971,14295,7960,18120,8731,6269,9250,11837,13661,16103,14442,15307,16605,15828,7043,10411,8233,3075,8422,8964,11008,8723,13683,5525,4913,5528,5460,6519,6390,1621,3169,3612,3648,7166,4323,5381,2534,4751,1892,352
73226,82700,42684,60070,33457,25202,15297,16871,14796,19993,8926,10496,17316,30758,55249,29609,14516,29995,23254,12123,19337,21773,14180,18085,9644,9447,10464,6429,17524,8496,7133,4612,7954,8812,7423,5182,2040,8851,8566,8321,16061,20674,4997,6386,5364,8829,6329,17610,58894,26348,10115,7880,8529,5059,4233,6125,4521,2981,4165,6009,3829,5914,2355,3697,2130,1197,431,674,305
37183,32595,38025,43430,36810,11495,9406,26008,16379,17892,12252,13886,17031,30050,5131,8083,7900,16960,10684,5955,10186,8579,1457,2763,9557,33932,5141,0,4901,1203,5809,3390,3287,4344,3124,7055,4059,1997,4613,903,1720,5848,793,0,2242,716,669,651,1270,1788,2860,0,0,462,0,0,1167,689,355,618,534,1387,0,1230,426,680,0,197,56
61980,54928,66202,59159,42777,36283,45040,46126,59992,44696,36864,27734,54646,61898,64125,43452,28504,51096,39461,20858,36443,32775,33569,42836,36492,64333,24380,38722,28046,30911,44168,33791,47218,47990,29174,40825,38300,58226,27639,34775,24885,27346,32888,20045,15533,14154,12161,18478,13122,11980,14158,16979,11522,13602,11774,11804,10869,11183,11642,11022,8011,6985,4997,6171,4513,5180,2050,2117,607722,4013,15266,11349,31,11135,3708,0,21725,50,3534,10539,10410,6903,6828,3406,0,0,3283,6528,3235,3083,31,2953,2914,11365,0,2793,2715,236,2627,5234,5162,5085,2502,19,2524,2424,2430,0,7024,9255,6927,11302,22175,6640,8657,4287,6335,12606,16364,8131,3984,11907,5806,1970,1944,10956,1788,5298,1750,5126,93,1669,3255,38352,94029,35367,48115,112992,61654,57853,36008,32695,84478,67909,100976,86265,159908,74413,43775,43753,42514,191951,452298,395905,579854,386035,477204,493089,392785,358300,391450,441829,239104,70860,61498,53723,67032,47158,51427,60639,47292,37970,26104,32008,30354,31776,36982,20699,19367,28761,21340,20558,9680,5869,4278,2676,103
31,3748,62,0,21706,18055,14334,14449,3561,93,3511,13794,3412,20133,13512,0,9891,3569,3299,6412,3254,9397,3174,3144,3030,6034,62,2937,14662,5822,2864,3107,2782,62,16532,93,10811,2712,5272,2588,2606,5088,7477,2651,14715,7894,9473,217,62,2331,4578,0,6679,124,10672,10525,2400,10412,124,8089,6112,6123,3935,403,2782,2259,250,5557,2432,403,3792,6971,5144,465,3388,546,1784,548,5762,4513,775,2010,2043,7850,1346,2780,6282,1491,1573,2509,19,0,31,0
