year_month,count
2014-03-01,14
2014-04-01,17
2014-05-01,18
2014-06-01,6
2014-07-01,70
2014-08-01,13
2014-09-01,11
2014-10-01,13
2014-11-01,14
2014-12-01,15
2015-01-01,9
2015-02-01,10
2015-03-01,11
2015-04-01,5
2015-05-01,10
2015-06-01,22
2015-07-01,25
2015-08-01,14
2015-09-01,15
2015-10-01,19
2015-11-01,12
2015-12-01,18
2016-01-01,16
2016-02-01,11
2016-03-01,13
2016-04-01,18
2016-05-01,19
2016-06-01,21
2016-07-01,25
2016-08-01,31
2016-09-01,20
2016-10-01,35
2016-11-01,28
2016-12-01,28
2017-01-01,39
2017-02-01,30
2017-03-01,29
2017-04-01,31
2017-05-01,50
2017-06-01,68
2017-07-01,84
2017-08-01,89
2017-09-01,82
2017-10-01,88
2017-11-01,82
2017-12-01,160
2018-01-01,140
2018-02-01,75
2018-03-01,75
2018-04-01,85
2018-05-01,64
2018-06-01,68
2018-07-01,56
2018-08-01,74
2018-09-01,62
2018-10-01,38
2018-11-01,75
2018-12-01,62
2019-01-01,28
2019-02-01,27
2019-03-01,23
2019-04-01,31
2019-05-01,75
2019-06-01,32
2019-07-01,25
2019-08-01,34
2019-09-01,27
2019-10-01,30
2019-11-01,30
2019-12-01,18
2020-01-01,15
2020-02-01,20
2020-03-01,25
2020-04-01,19
2020-05-01,31
2020-06-01,15
2020-07-01,16
2020-08-01,24
2020-09-01,25
2020-10-01,16
2020-11-01,16
2020-12-01,20
2021-01-01,41
2021-02-01,43
2021-03-01,38
2021-04-01,27
2021-05-01,29
2021-06-01,22
2021-07-01,27
2021-08-01,18
2021-09-01,26
2021-10-01,24
2021-11-01,31
2021-12-01,31
2022-01-01,30
2022-02-01,20
2022-03-01,23
2022-04-01,28
2022-05-01,16
2022-06-01,20
2022-07-01,16
2022-08-01,8
2022-09-01,20
2022-10-01,18
2022-11-01,15
2022-12-01,20
2023-01-01,13
2023-02-01,21
2023-03-01,19
2023-04-01,14
2023-05-01,16
2023-06-01,15
